70.18380869653389 [(40.738146470978144, -73.98440513388994), (40.80018355049121, -73.93010675372153), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726)]
70.18380869653389 [(40.70003401884925, -73.81232104097359), (40.738146470978144, -73.98440513388994), (40.676456550179985, -73.94981464473726), (40.80018355049121, -73.93010675372153)]
70.1838086965339 [(40.738146470978144, -73.98440513388994), (40.70003401884925, -73.81232104097359), (40.80018355049121, -73.93010675372153), (40.676456550179985, -73.94981464473726)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427), (40.676456550179985, -73.94981464473726)]
70.18380869653389 [(40.676456550179985, -73.94981464473726), (40.80018355049121, -73.93010675372153), (40.70003401884925, -73.81232104097359), (40.738146470978144, -73.98440513388994)]
70.18381001668139 [(40.70003401884925, -73.81232104097359), (40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427), (40.676456550179985, -73.94981464473726)]
70.18381001668139 [(40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121), (40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427)]
70.1838100166814 [(40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121)]
70.18380869653389 [(40.80018355049121, -73.93010675372153), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.738146470978144, -73.98440513388994)]
70.18380869653389 [(40.738146470978144, -73.98440513388994), (40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.80018355049121, -73.93010675372153)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427)]
70.18380869653389 [(40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.738146470978144, -73.98440513388994), (40.80018355049121, -73.93010675372153)]
70.18380869653389 [(40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.738146470978144, -73.98440513388994), (40.80018355049121, -73.93010675372153)]
70.1838100166814 [(40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121)]
70.1838086965339 [(40.80018355049121, -73.93010675372153), (40.676456550179985, -73.94981464473726), (40.738146470978144, -73.98440513388994), (40.70003401884925, -73.81232104097359)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427), (40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359)]
70.18381001668139 [(40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359)]
70.18381001668139 [(40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427)]
70.18381001668139 [(40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121), (40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427)]
70.18381001668139 [(40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427)]
70.1838100166814 [(40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427), (40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726)]
70.1838086965339 [(40.676456550179985, -73.94981464473726), (40.738146470978144, -73.98440513388994), (40.80018355049121, -73.93010675372153), (40.70003401884925, -73.81232104097359)]
70.1838086965339 [(40.676456550179985, -73.94981464473726), (40.80018355049121, -73.93010675372153), (40.738146470978144, -73.98440513388994), (40.70003401884925, -73.81232104097359)]
70.18381001668139 [(40.738155963564715, -73.98439151406427), (40.80020460915584, -73.93009590500121), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726)]
70.18381001668139 [(40.738155963564715, -73.98439151406427), (40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.80020460915584, -73.93009590500121)]
70.18380869653389 [(40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.80018355049121, -73.93010675372153), (40.738146470978144, -73.98440513388994)]
70.1838100166814 [(40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427), (40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726)]
70.1838086965339 [(40.80018355049121, -73.93010675372153), (40.676456550179985, -73.94981464473726), (40.738146470978144, -73.98440513388994), (40.70003401884925, -73.81232104097359)]
70.18381001668139 [(40.738155963564715, -73.98439151406427), (40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.80020460915584, -73.93009590500121)]
70.18381001668139 [(40.676456550179985, -73.94981464473726), (40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359), (40.80020460915584, -73.93009590500121)]
70.18380869653389 [(40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.80018355049121, -73.93010675372153), (40.738146470978144, -73.98440513388994)]
70.18380869653389 [(40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.80018355049121, -73.93010675372153), (40.738146470978144, -73.98440513388994)]
70.18381001668139 [(40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359)]
70.18381001668139 [(40.738155963564715, -73.98439151406427), (40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121), (40.70003401884925, -73.81232104097359)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726), (40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359)]
70.1838086965339 [(40.738146470978144, -73.98440513388994), (40.70003401884925, -73.81232104097359), (40.80018355049121, -73.93010675372153), (40.676456550179985, -73.94981464473726)]
70.18381001668139 [(40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.738155963564715, -73.98439151406427), (40.80020460915584, -73.93009590500121)]
70.18381001668139 [(40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.738155963564715, -73.98439151406427), (40.80020460915584, -73.93009590500121)]
70.18380869653389 [(40.676456550179985, -73.94981464473726), (40.70003401884925, -73.81232104097359), (40.80018355049121, -73.93010675372153), (40.738146470978144, -73.98440513388994)]
70.1838086965339 [(40.80018355049121, -73.93010675372153), (40.70003401884925, -73.81232104097359), (40.738146470978144, -73.98440513388994), (40.676456550179985, -73.94981464473726)]
70.1838100166814 [(40.70003401884925, -73.81232104097359), (40.738155963564715, -73.98439151406427), (40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726)]
70.18381001668139 [(40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726), (40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359)]
70.18381001668139 [(40.738155963564715, -73.98439151406427), (40.80020460915584, -73.93009590500121), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726)]
70.1838100166814 [(40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121)]
70.18381001668139 [(40.80020460915584, -73.93009590500121), (40.676456550179985, -73.94981464473726), (40.738155963564715, -73.98439151406427), (40.70003401884925, -73.81232104097359)]
70.18380869653389 [(40.738146470978144, -73.98440513388994), (40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.80018355049121, -73.93010675372153)]
70.18381001668139 [(40.70003401884925, -73.81232104097359), (40.676456550179985, -73.94981464473726), (40.80020460915584, -73.93009590500121), (40.738155963564715, -73.98439151406427)]
